Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/./train_gpt2_4090_90min_3_25loss.py:322: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: fb132c87-9f12-4b81-a0be-b587738452d5 lrfac=0.5 malbo_eps=0.001 use_malbo=False
Step	Loss	Time(ms)	kt/s	Window	ETA(m)	Malbo Loss
1	10.812	   67973	7.7	256	1982.5	10.812
2	10.125	    3022	173.5	256	88.1	10.125
3	9.375	    3042	172.4	256	88.6	9.375
4	8.000	    3040	172.5	256	88.5	8.000
5	7.594	    3043	172.3	256	88.6	7.594
6	8.312	    3042	172.4	256	88.5	8.312
7	7.594	    3044	172.2	256	88.5	7.594
8	7.375	    3044	172.2	256	88.4	7.375
9	7.406	    3048	172.0	256	88.5	7.406
10	7.281	    3046	172.1	256	88.4	7.281
11	7.219	    3047	172.1	256	88.4	7.219
12	7.188	    3047	172.1	256	88.3	7.188
13	6.812	    3048	172.0	256	88.3	6.812
14	6.812	    3050	171.9	256	88.3	6.812
15	6.719	    3048	172.0	256	88.2	6.719
16	6.688	    3053	171.7	256	88.3	6.688
17	6.750	    3055	171.6	256	88.3	6.750
18	6.438	    3048	172.0	256	88.0	6.438
19	6.656	    3051	171.8	256	88.1	6.656
20	6.562	    3053	171.8	256	88.1	6.562
21	6.594	    3053	171.8	256	88.0	6.594
22	6.281	    3051	171.9	256	87.9	6.281
23	6.688	    3053	171.7	256	87.9	6.688
24	6.625	    3054	171.7	256	87.9	6.625
25	6.312	    3055	171.6	256	87.9	6.312
26	6.094	    3058	171.5	256	87.9	6.094
27	6.375	    3055	171.6	256	87.8	6.375
28	6.062	    3054	171.7	256	87.7	6.062
29	6.344	    3053	171.8	256	87.6	6.344
30	6.406	    3056	171.6	256	87.7	6.406
31	6.156	    3056	171.6	256	87.6	6.156
32	6.188	    3059	171.4	256	87.6	6.188
33	6.188	    3056	171.6	256	87.5	6.188
34	6.031	    3056	171.6	256	87.4	6.031
35	6.000	    3055	171.6	256	87.4	6.000
36	6.375	    3059	171.4	256	87.4	6.375
37	6.125	    3058	171.5	256	87.3	6.125
38	5.906	    3060	171.3	256	87.4	5.906
39	5.938	    3060	171.3	256	87.3	5.938
40	5.844	    3058	171.5	256	87.2	5.844
41	5.906	    3060	171.3	256	87.2	5.906
42	5.812	    3057	171.5	256	87.1	5.812
43	6.031	    3059	171.4	256	87.1	6.031
44	5.750	    3056	171.5	256	87.0	5.750
45	5.750	    3059	171.4	256	87.0	5.750
46	5.812	    3058	171.4	256	86.9	5.812
47	5.781	    3059	171.4	256	86.9	5.781
48	6.062	    3058	171.5	256	86.8	6.062
49	5.969	    3059	171.4	256	86.8	5.969
50	6.000	    3060	171.3	256	86.7	6.000
51	5.906	    3057	171.5	256	86.6	5.906
52	6.188	    3060	171.4	256	86.6	6.188
53	5.750	    3057	171.5	256	86.5	5.750
54	5.688	    3056	171.5	256	86.4	5.688
55	5.938	    3059	171.4	256	86.5	5.938
56	5.781	    3058	171.4	256	86.4	5.781
57	5.656	    3057	171.5	256	86.3	5.656
58	5.719	    3056	171.5	256	86.2	5.719
59	5.594	    3058	171.4	256	86.2	5.594
60	5.906	    3057	171.5	256	86.2	5.906
61	5.656	    3058	171.5	256	86.1	5.656
62	5.625	    3057	171.5	256	86.1	5.625
63	5.625	    3056	171.5	256	86.0	5.625
64	5.594	    3057	171.5	256	86.0	5.594
65	5.906	    3059	171.4	256	86.0	5.906
66	5.594	    3057	171.5	256	85.9	5.594
67	5.469	    3054	171.7	256	85.7	5.469
68	5.594	    3058	171.5	256	85.8	5.594
69	5.531	    3061	171.3	256	85.8	5.531
70	5.562	    3057	171.5	256	85.6	5.562
71	5.688	    3058	171.4	256	85.6	5.688
72	5.438	    3058	171.5	256	85.6	5.438
73	5.531	    3057	171.5	256	85.5	5.531
74	5.562	    3058	171.5	256	85.5	5.562
75	5.531	    3053	171.7	256	85.3	5.531
76	5.219	    3059	171.4	256	85.4	5.219
77	5.469	    3060	171.3	256	85.4	5.469
78	5.531	    3061	171.3	256	85.4	5.531
79	5.344	    3059	171.4	256	85.2	5.344
80	5.344	    3058	171.4	256	85.2	5.344
81	5.312	    3060	171.3	256	85.2	5.312
82	5.375	    3058	171.4	256	85.1	5.375
83	5.062	    3060	171.4	256	85.1	5.062
84	5.406	    3059	171.4	256	85.0	5.406
85	5.438	    3059	171.4	256	84.9	5.438
86	5.344	    3060	171.3	256	84.9	5.344
87	5.250	    3058	171.4	256	84.8	5.250
88	5.344	    3059	171.4	256	84.8	5.344
89	5.031	    3060	171.3	256	84.8	5.031
90	5.031	    3059	171.4	256	84.7	5.031
91	5.125	    3056	171.5	256	84.6	5.125
92	5.188	    3059	171.4	256	84.6	5.188
93	5.156	    3061	171.3	256	84.6	5.156
94	5.562	    3058	171.4	256	84.5	5.562
95	5.469	    3057	171.5	256	84.4	5.469
96	5.250	    3059	171.4	256	84.4	5.250
97	5.125	    3059	171.4	256	84.3	5.125
98	5.344	    3060	171.3	256	84.3	5.344
99	5.281	    3061	171.3	256	84.3	5.281
100	5.312	    3059	171.4	256	84.2	5.312
101	5.406	    3058	171.4	256	84.1	5.406
102	5.500	    3059	171.4	256	84.1	5.500
103	5.281	    3059	171.4	256	84.0	5.281
104	5.188	    3059	171.4	256	84.0	5.188
105	5.188	    3060	171.3	256	84.0	5.188
106	5.094	    3060	171.3	256	83.9	5.094
107	5.250	    3060	171.3	256	83.8	5.250
108	5.188	    3058	171.4	256	83.7	5.188
109	5.188	    3056	171.5	256	83.6	5.188
110	5.281	    3060	171.3	256	83.7	5.281
111	5.250	    3056	171.6	256	83.5	5.250
112	5.312	    3059	171.4	256	83.6	5.312
113	4.719	    3060	171.4	256	83.5	4.719
114	5.219	    3062	171.2	256	83.5	5.219
115	5.156	    3059	171.4	256	83.4	5.156
116	5.219	    3058	171.4	256	83.3	5.219
117	4.969	    3058	171.4	256	83.3	4.969
118	5.062	    3059	171.4	256	83.2	5.062
119	5.062	    3057	171.5	256	83.2	5.062
120	4.875	    3058	171.4	256	83.1	4.875
121	4.875	    3061	171.3	256	83.1	4.875
122	5.031	    3058	171.5	256	83.0	5.031
123	4.812	    3059	171.4	256	83.0	4.812
124	5.000	    3057	171.5	256	82.9	5.000
125	4.938	    3059	171.4	256	82.9	4.938
126	5.000	    3059	171.4	256	82.9	5.000
127	5.281	    3062	171.2	256	82.9	5.281
128	4.844	    3060	171.3	256	82.8	4.844
129	5.062	    3058	171.4	256	82.7	5.062
130	5.031	    3058	171.5	256	82.6	5.031
131	4.750	    3059	171.4	256	82.6	4.750
132	5.000	    3060	171.3	256	82.6	5.000
133	4.812	    3059	171.4	256	82.5	4.812
134	4.656	    3059	171.4	256	82.4	4.656
135	4.844	    3063	171.2	256	82.5	4.844
136	4.719	    3057	171.5	256	82.3	4.719
137	5.062	    3062	171.2	256	82.4	5.062
138	4.812	    3060	171.4	256	82.3	4.812
139	4.781	    3056	171.5	256	82.1	4.781
140	4.594	    3058	171.5	256	82.1	4.594
141	4.688	    3059	171.4	256	82.1	4.688
142	5.000	    3061	171.3	256	82.1	5.000
143	4.875	    3060	171.3	256	82.0	4.875
144	4.906	    3058	171.5	256	81.9	4.906
145	5.031	    3061	171.3	256	81.9	5.031
146	4.719	    3058	171.5	256	81.8	4.719
147	4.719	    3059	171.4	256	81.8	4.719
148	4.688	    3059	171.4	256	81.7	4.688
149	4.719	    3060	171.3	256	81.7	4.719
150	4.781	    3061	171.3	256	81.7	4.781
151	4.781	    3059	171.4	256	81.6	4.781
152	4.719	    3060	171.4	256	81.5	4.719
153	4.812	    3058	171.5	256	81.4	4.812
154	4.844	    3057	171.5	256	81.4	4.844
155	4.781	    3059	171.4	256	81.4	4.781
156	4.812	    3060	171.4	256	81.3	4.812
157	4.750	    3059	171.4	256	81.3	4.750
158	4.688	    3057	171.5	256	81.2	4.688
159	5.125	    3060	171.3	256	81.2	5.125
160	4.531	    3057	171.5	256	81.1	4.531
161	4.656	    3058	171.5	256	81.0	4.656
162	4.719	    3056	171.5	256	80.9	4.719
163	4.812	    3059	171.4	256	81.0	4.812
164	4.656	    3058	171.4	256	80.9	4.656
165	4.656	    3059	171.4	256	80.9	4.656
166	4.625	    3057	171.5	256	80.8	4.625
167	4.625	    3057	171.5	256	80.7	4.625
168	4.719	    3057	171.5	256	80.7	4.719
169	4.531	    3059	171.4	256	80.7	4.531
170	4.562	    3059	171.4	256	80.6	4.562
171	4.531	    3058	171.5	256	80.5	4.531
172	4.594	    3056	171.5	256	80.4	4.594
173	4.625	    3059	171.4	256	80.5	4.625
174	4.594	    3058	171.5	256	80.4	4.594
175	4.531	    3056	171.5	256	80.3	4.531
176	4.469	    3059	171.4	256	80.3	4.469
177	4.594	    3058	171.5	256	80.2	4.594
178	4.562	    3060	171.4	256	80.2	4.562
179	4.438	    3061	171.3	256	80.2	4.438
180	4.469	    3059	171.4	256	80.1	4.469
181	4.438	    3057	171.5	256	80.0	4.438
182	4.312	    3059	171.4	256	80.0	4.312
183	4.562	    3061	171.3	256	80.0	4.562
184	4.406	    3057	171.5	256	79.8	4.406
185	4.469	    3058	171.4	256	79.8	4.469
186	4.438	    3060	171.3	256	79.8	4.438
187	4.156	    3059	171.4	256	79.7	4.156
188	4.594	    3059	171.4	256	79.7	4.594
189	4.625	    3058	171.4	256	79.6	4.625
190	4.906	    3056	171.6	256	79.5	4.906
191	4.406	    3058	171.5	256	79.5	4.406
192	4.562	    3061	171.3	256	79.5	4.562
193	4.656	    3058	171.4	256	79.4	4.656
194	4.625	    3058	171.5	256	79.3	4.625
195	4.438	    3061	171.3	256	79.4	4.438
196	4.500	    3057	171.5	256	79.2	4.500
197	4.656	    3059	171.4	256	79.2	4.656
198	4.625	    3059	171.4	256	79.2	4.625
199	4.531	    3057	171.5	256	79.1	4.531
200	4.344	    3056	171.6	256	79.0	4.344
201	4.531	    3056	171.6	256	78.9	4.531
202	4.625	    3057	171.5	256	78.9	4.625
203	4.406	    3061	171.3	256	79.0	4.406
204	4.688	    3059	171.4	256	78.9	4.688
205	4.438	    3056	171.5	256	78.8	4.438
206	4.594	    3057	171.5	256	78.7	4.594
207	4.438	    3055	171.6	256	78.6	4.438
208	4.500	    3059	171.4	256	78.7	4.500
209	4.500	    3056	171.6	256	78.5	4.500
210	4.594	    3058	171.5	256	78.5	4.594
211	4.812	    3061	171.3	256	78.6	4.812
212	4.625	    3059	171.4	256	78.5	4.625
213	5.250	    3058	171.5	256	78.4	5.250
214	4.406	    3059	171.4	256	78.4	4.406
215	4.188	    3057	171.5	256	78.2	4.188
216	4.312	    3057	171.5	256	78.2	4.312
217	4.406	    3059	171.4	256	78.2	4.406
218	4.375	    3058	171.5	256	78.1	4.375
219	4.188	    3059	171.4	256	78.1	4.188
220	4.312	    3058	171.4	256	78.0	4.312
221	4.656	    3057	171.5	256	78.0	4.656
222	4.469	    3060	171.3	256	78.0	4.469
223	4.219	    3059	171.4	256	77.9	4.219
224	4.312	    3060	171.4	256	77.9	4.312
225	4.438	    3059	171.4	256	77.8	4.438
226	4.531	    3060	171.4	256	77.8	4.531
227	4.219	    3062	171.2	256	77.8	4.219
228	4.312	    3059	171.4	256	77.6	4.312
229	4.312	    3060	171.3	256	77.6	4.312
230	4.281	    3060	171.3	256	77.6	4.281
231	4.219	    3061	171.3	256	77.5	4.219
232	4.500	    3058	171.4	256	77.4	4.500
233	4.250	    3060	171.3	256	77.4	4.250
234	4.375	    3061	171.3	256	77.4	4.375
235	4.344	    3056	171.6	256	77.2	4.344
236	4.375	    3056	171.6	256	77.2	4.375
237	4.562	    3058	171.5	256	77.2	4.562
238	4.312	    3060	171.4	256	77.2	4.312
239	4.594	    3058	171.5	256	77.1	4.594
240	4.562	    3059	171.4	256	77.0	4.562
241	4.562	    3060	171.3	256	77.0	4.562
242	4.469	    3060	171.4	256	76.9	4.469
243	4.312	    3058	171.4	256	76.9	4.312
244	4.438	    3060	171.3	256	76.9	4.438
245	4.281	    3060	171.3	256	76.8	4.281
246	4.406	    3056	171.6	256	76.7	4.406
247	4.281	    3059	171.4	256	76.7	4.281
248	4.281	    3057	171.5	256	76.6	4.281
249	4.312	    3058	171.4	256	76.6	4.312
250	4.375	    3056	171.5	256	76.5	4.375
251	4.375	    3061	171.3	256	76.5	4.375
252	4.188	    3055	171.6	256	76.3	4.188
253	4.250	    3056	171.6	256	76.3	4.250
254	4.562	    3058	171.5	256	76.3	4.562
255	4.281	    3060	171.3	256	76.3	4.281
256	4.375	    3058	171.5	256	76.2	4.375
257	4.344	    3056	171.6	256	76.1	4.344
258	4.188	    3060	171.4	256	76.1	4.188
259	4.375	    3059	171.4	256	76.1	4.375
260	4.156	    3057	171.5	256	76.0	4.156
261	4.156	    3057	171.5	256	75.9	4.156
262	4.250	    3058	171.4	256	75.9	4.250
263	4.062	    3057	171.5	256	75.8	4.062
264	4.312	    3060	171.4	256	75.8	4.312
265	4.375	    3060	171.3	256	75.8	4.375
266	4.219	    3057	171.5	256	75.7	4.219
267	4.281	    3060	171.3	256	75.7	4.281
268	4.219	    3057	171.5	256	75.5	4.219
269	4.156	    3059	171.4	256	75.6	4.156
270	4.219	    3059	171.4	256	75.5	4.219
271	4.156	    3060	171.3	256	75.5	4.156
272	4.062	    3059	171.4	256	75.4	4.062
273	3.953	    3058	171.4	256	75.3	3.953
274	4.031	    3057	171.5	256	75.3	4.031
275	4.250	    3059	171.4	256	75.2	4.250
276	4.219	    3059	171.4	256	75.2	4.219
277	4.250	    3059	171.4	256	75.2	4.250
278	4.125	    3062	171.2	256	75.2	4.125
279	4.188	    3059	171.4	256	75.0	4.188
280	4.031	    3059	171.4	256	75.0	4.031
281	4.406	    3060	171.3	256	75.0	4.406
282	4.281	    3057	171.5	256	74.8	4.281
283	4.281	    3058	171.4	256	74.8	4.281
284	4.312	    3059	171.4	256	74.8	4.312
285	4.281	    3061	171.3	256	74.8	4.281
286	4.312	    3058	171.4	256	74.7	4.312
287	4.188	    3060	171.3	256	74.7	4.188
288	4.062	    3060	171.3	256	74.6	4.062
289	4.312	    3057	171.5	256	74.5	4.312
290	4.344	    3058	171.4	256	74.5	4.344
291	4.281	    3059	171.4	256	74.4	4.281
292	4.094	    3059	171.4	256	74.4	4.094
293	4.344	    3168	165.5	512	77.0	4.344
294	4.188	    3169	165.4	512	77.0	4.188
295	4.125	    3166	165.6	512	76.8	4.125
296	4.375	    3172	165.3	512	76.9	4.375
297	4.125	    3167	165.6	512	76.7	4.125
298	4.281	    3170	165.4	512	76.8	4.281
299	4.156	    3165	165.7	512	76.6	4.156
300	4.156	    3168	165.5	512	76.6	4.156
301	4.281	    3169	165.5	512	76.6	4.281
302	4.219	    3170	165.4	512	76.6	4.219
303	4.062	    3168	165.5	512	76.4	4.062
304	4.125	    3174	165.2	512	76.6	4.125
305	4.125	    3170	165.4	512	76.4	4.125
306	4.219	    3165	165.6	512	76.2	4.219
307	4.125	    3165	165.7	512	76.2	4.125
308	4.062	    3165	165.7	512	76.1	4.062
309	4.156	    3175	165.1	512	76.3	4.156
310	4.031	    3166	165.6	512	76.0	4.031
311	4.094	    3178	165.0	512	76.3	4.094
312	4.031	    3169	165.4	512	76.0	4.031
313	4.062	    3173	165.3	512	76.0	4.062
314	4.094	    3166	165.6	512	75.8	4.094
315	4.094	    3172	165.3	512	75.9	4.094
316	4.031	    3168	165.5	512	75.8	4.031
317	4.062	    3171	165.3	512	75.8	4.062
318	3.859	    3168	165.5	512	75.7	3.859
319	4.000	    3174	165.2	512	75.7	4.000
320	3.906	    3176	165.1	512	75.8	3.906
321	4.281	    3175	165.1	512	75.7	4.281
322	3.984	    3178	165.0	512	75.7	3.984
323	4.031	    3178	165.0	512	75.6	4.031
324	4.062	    3173	165.2	512	75.5	4.062
325	3.844	    3174	165.2	512	75.4	3.844
326	4.250	    3173	165.3	512	75.3	4.250
327	3.953	    3173	165.2	512	75.3	3.953
328	4.281	    3170	165.4	512	75.2	4.281
329	4.406	    3173	165.2	512	75.2	4.406
330	4.281	    3176	165.1	512	75.2	4.281
331	4.031	    3169	165.4	512	75.0	4.031
332	4.188	    3172	165.3	512	75.0	4.188
333	4.125	    3177	165.0	512	75.1	4.125
334	4.000	    3174	165.2	512	75.0	4.000
335	4.219	    3163	165.8	512	74.6	4.219
336	4.062	    3168	165.5	512	74.7	4.062
337	4.000	    3174	165.2	512	74.8	4.000
338	4.500	    3174	165.2	512	74.8	4.500
339	4.062	    3170	165.4	512	74.6	4.062
340	4.125	    3167	165.5	512	74.5	4.125
341	4.031	    3159	166.0	512	74.2	4.031
342	4.125	    3178	165.0	512	74.6	4.125
343	4.062	    3168	165.5	512	74.3	4.062
344	3.922	    3169	165.5	512	74.3	3.922
345	4.156	    3171	165.4	512	74.3	4.156
346	4.031	    3171	165.3	512	74.3	4.031
347	4.125	    3169	165.5	512	74.1	4.125
348	3.984	    3169	165.4	512	74.1	3.984
349	4.000	    3167	165.5	512	74.0	4.000
350	4.094	    3171	165.4	512	74.0	4.094
351	4.062	    3168	165.5	512	73.9	4.062
352	4.062	    3173	165.2	512	74.0	4.062
353	4.031	    3166	165.6	512	73.8	4.031
354	4.094	    3170	165.4	512	73.8	4.094
355	4.125	    3179	164.9	512	74.0	4.125
356	4.031	    3162	165.8	512	73.5	4.031
357	3.906	    3170	165.4	512	73.6	3.906
358	3.984	    3169	165.4	512	73.6	3.984
359	4.031	    3169	165.4	512	73.5	4.031
360	4.125	    3165	165.6	512	73.4	4.125
361	4.156	    3169	165.4	512	73.4	4.156
362	4.031	    3168	165.5	512	73.3	4.031
363	3.812	    3172	165.3	512	73.4	3.812
364	3.953	    3173	165.2	512	73.3	3.953
365	3.859	    3171	165.3	512	73.2	3.859
366	4.312	    3176	165.1	512	73.3	4.312
367	3.688	    3172	165.3	512	73.2	3.688
368	3.953	    3170	165.4	512	73.1	3.953
369	3.812	    3167	165.5	512	72.9	3.812
370	3.906	    3170	165.4	512	73.0	3.906
371	3.828	    3176	165.1	512	73.0	3.828
372	3.953	    3172	165.3	512	72.9	3.953
373	3.844	    3170	165.4	512	72.8	3.844
374	4.094	    3170	165.4	512	72.7	4.094
375	4.188	    3165	165.7	512	72.6	4.188
376	4.062	    3171	165.3	512	72.7	4.062
377	4.031	    3168	165.5	512	72.5	4.031
378	4.031	    3167	165.5	512	72.5	4.031
379	4.062	    3172	165.3	512	72.5	4.062
380	4.000	    3168	165.5	512	72.4	4.000
381	4.031	    3169	165.4	512	72.4	4.031
382	4.031	    3172	165.3	512	72.4	4.031
383	4.031	    3173	165.3	512	72.3	4.031
384	3.953	    3173	165.2	512	72.3	3.953
385	4.062	    3166	165.6	512	72.1	4.062
386	4.219	    3171	165.3	512	72.1	4.219
387	3.859	    3166	165.6	512	72.0	3.859
388	3.812	    3174	165.2	512	72.1	3.812
389	3.766	    3166	165.6	512	71.9	3.766
390	3.828	    3173	165.2	512	72.0	3.828
391	3.953	    3169	165.4	512	71.8	3.953
392	4.031	    3168	165.5	512	71.7	4.031
393	4.031	    3168	165.5	512	71.7	4.031
394	3.844	    3168	165.5	512	71.6	3.844
395	4.281	    3168	165.5	512	71.6	4.281
396	3.781	    3179	164.9	512	71.8	3.781
397	3.797	    3164	165.7	512	71.4	3.797
398	4.156	    3171	165.3	512	71.5	4.156
399	3.703	    3171	165.4	512	71.4	3.703
400	3.875	    3171	165.4	512	71.4	3.875
401	4.094	    3169	165.4	512	71.3	4.094
402	3.781	    3176	165.1	512	71.4	3.781
403	4.062	    3169	165.4	512	71.2	4.062
404	3.875	    3169	165.5	512	71.1	3.875
405	3.750	    3170	165.4	512	71.1	3.750
406	3.859	    3170	165.4	512	71.1	3.859
407	3.938	    3176	165.1	512	71.1	3.938
408	3.828	    3171	165.3	512	71.0	3.828
409	3.875	    3168	165.5	512	70.9	3.875
410	3.875	    3170	165.4	512	70.9	3.875
411	3.828	    3173	165.2	512	70.9	3.828
412	3.625	    3177	165.0	512	70.9	3.625
413	3.781	    3174	165.2	512	70.8	3.781
414	3.672	    3178	165.0	512	70.8	3.672
415	3.938	    3177	165.0	512	70.7	3.938
416	3.672	    3180	164.9	512	70.7	3.672
417	3.844	    3174	165.2	512	70.6	3.844
418	3.891	    3173	165.2	512	70.5	3.891
419	3.922	    3174	165.2	512	70.5	3.922
420	3.781	    3172	165.3	512	70.4	3.781
421	4.031	    3171	165.3	512	70.3	4.031
422	3.812	    3173	165.2	512	70.3	3.812
423	3.844	    3175	165.1	512	70.3	3.844
424	3.891	    3171	165.3	512	70.1	3.891
425	4.125	    3170	165.4	512	70.1	4.125
426	3.969	    3168	165.5	512	70.0	3.969
427	3.859	    3169	165.4	512	69.9	3.859
428	3.938	    3170	165.4	512	69.9	3.938
429	4.094	    3171	165.3	512	69.9	4.094
430	3.516	    3178	165.0	512	70.0	3.516
431	3.844	    3178	165.0	512	69.9	3.844
432	3.828	    3165	165.7	512	69.6	3.828
433	3.875	    3166	165.6	512	69.6	3.875
434	3.719	    3171	165.3	512	69.6	3.719
435	3.875	    3172	165.3	512	69.6	3.875
436	3.641	    3173	165.2	512	69.5	3.641
437	3.781	    3161	165.9	512	69.2	3.781
438	3.859	    3169	165.4	512	69.4	3.859
439	3.984	    3171	165.3	512	69.3	3.984
440	3.875	    3171	165.4	512	69.3	3.875
441	3.844	    3170	165.4	512	69.2	3.844
442	3.828	    3166	165.6	512	69.1	3.828
443	3.844	    3169	165.5	512	69.1	3.844
444	3.797	    3162	165.8	512	68.9	3.797
445	3.891	    3170	165.4	512	69.0	3.891
446	3.938	    3168	165.5	512	68.9	3.938
447	3.859	    3167	165.5	512	68.8	3.859
448	3.859	    3168	165.5	512	68.8	3.859
449	3.906	    3173	165.2	512	68.9	3.906
450	3.781	    3169	165.5	512	68.7	3.781
451	3.781	    3166	165.6	512	68.6	3.781
452	3.984	    3167	165.5	512	68.6	3.984
453	3.891	    3173	165.2	512	68.7	3.891
454	3.812	    3165	165.6	512	68.4	3.812
455	3.672	    3171	165.3	512	68.5	3.672
