Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/train_gpt2_4090_90min_3_25loss.py:306: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: 9211f9a3-f009-4782-8130-7ce2d9db9644
Step	Loss	Time(ms)	kt/s	Window	ETA(m)
1	10.812	77508	6.8	256	2260.6
2	9.875	3086	169.9	256	90.0
3	9.250	3098	169.2	256	90.3
4	9.125	3098	169.2	256	90.2
5	9.062	3100	169.1	256	90.2
6	9.750	3101	169.0	256	90.2
7	9.000	3105	168.8	256	90.3
8	8.875	3104	168.9	256	90.2
9	8.375	3106	168.8	256	90.2
10	7.969	3107	168.8	256	90.1
11	8.438	3105	168.8	256	90.1
12	7.969	3109	168.6	256	90.1
13	8.000	3106	168.8	256	90.0
14	7.969	3111	168.5	256	90.1
15	7.656	3109	168.7	256	89.9
16	7.500	3112	168.5	256	90.0
17	7.656	3111	168.5	256	89.9
18	7.188	3110	168.6	256	89.8
19	7.344	3111	168.5	256	89.8
20	7.312	3112	168.5	256	89.8
21	6.875	3113	168.4	256	89.8
22	6.719	3112	168.5	256	89.7
23	7.062	3115	168.3	256	89.7
24	6.875	3112	168.5	256	89.6
25	6.719	3114	168.4	256	89.6
26	6.625	3114	168.4	256	89.5
27	6.656	3115	168.3	256	89.5
28	6.500	3114	168.4	256	89.4
29	6.625	3115	168.3	256	89.4
30	6.781	3115	168.3	256	89.3
31	6.500	3115	168.3	256	89.3
32	6.781	3114	168.4	256	89.2
33	6.656	3118	168.1	256	89.3
34	6.438	3116	168.3	256	89.2
35	6.406	3117	168.2	256	89.1
36	6.719	3120	168.0	256	89.2
37	6.562	3119	168.1	256	89.1
38	6.219	3119	168.1	256	89.0
39	6.312	3120	168.0	256	89.0
40	6.250	3120	168.0	256	89.0
41	6.188	3119	168.1	256	88.9
42	6.281	3118	168.1	256	88.8
43	6.500	3119	168.1	256	88.8
44	6.094	3120	168.0	256	88.8
45	6.125	3121	168.0	256	88.7
46	6.156	3119	168.1	256	88.6
47	6.250	3122	167.9	256	88.7
48	6.344	3119	168.1	256	88.5
49	6.344	3120	168.0	256	88.5
50	6.344	3120	168.1	256	88.4
51	6.281	3118	168.2	256	88.3
52	6.594	3122	167.9	256	88.4
53	6.094	3118	168.1	256	88.2
54	6.125	3120	168.1	256	88.2
55	6.250	3121	168.0	256	88.2
56	6.219	3118	168.1	256	88.1
57	6.094	3119	168.1	256	88.1
58	6.094	3117	168.2	256	88.0
59	5.906	3118	168.1	256	87.9
60	6.312	3118	168.1	256	87.9
