Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/./train_gpt2_4090_90min_3_25loss.py:316: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: d31b0c18-c90a-422a-be83-b262e70757f4
Step	Loss	Time(ms)	kt/s	Window	ETA(m)	Malbo Loss
1	10.812	   99869	5.2	256	2912.9	10.815
2	9.875	    3097	169.3	256	90.3	9.937
3	9.000	    3117	168.2	256	90.8	9.001
4	7.906	    3121	168.0	256	90.9	7.718
5	7.656	    3124	167.8	256	90.9	7.387
6	7.656	    3121	168.0	256	90.8	7.365
7	7.219	    3125	167.8	256	90.8	6.951
8	7.094	    3125	167.8	256	90.8	6.836
9	7.125	    3123	167.9	256	90.7	6.833
10	7.094	    3128	167.6	256	90.8	6.850
11	6.938	    3131	167.4	256	90.8	6.665
12	7.031	    3134	167.3	256	90.8	6.725
13	6.812	    3134	167.3	256	90.8	6.554
14	6.750	    3135	167.2	256	90.8	6.469
15	6.562	    3137	167.1	256	90.8	6.345
16	6.562	    3141	166.9	256	90.8	6.250
17	6.688	    3140	166.9	256	90.8	6.409
18	6.344	    3136	167.2	256	90.6	6.089
19	6.562	    3138	167.1	256	90.6	6.227
20	6.625	    3140	167.0	256	90.6	6.304
21	6.312	    3140	167.0	256	90.5	6.006
22	6.125	    3141	166.9	256	90.5	5.846
23	6.438	    3143	166.8	256	90.5	6.167
24	6.344	    3143	166.8	256	90.5	6.062
25	6.219	    3143	166.8	256	90.4	5.943
26	5.938	    3145	166.7	256	90.4	5.722
27	6.156	    3144	166.8	256	90.3	5.860
28	5.906	    3143	166.8	256	90.3	5.651
29	6.188	    3147	166.6	256	90.3	5.916
30	6.125	    3148	166.5	256	90.3	5.869
31	6.094	    3148	166.5	256	90.3	5.729
32	6.000	    3146	166.7	256	90.1	5.765
33	6.188	    3149	166.5	256	90.2	5.923
34	5.969	    3148	166.6	256	90.1	5.693
35	5.844	    3150	166.4	256	90.1	5.600
36	6.094	    3151	166.4	256	90.1	5.938
37	5.938	    3151	166.4	256	90.0	5.669
38	5.688	    3151	166.4	256	90.0	5.484
39	5.750	    3151	166.4	256	89.9	5.514
40	5.656	    3151	166.4	256	89.9	5.480
41	5.750	    3150	166.4	256	89.8	5.510
42	5.625	    3150	166.5	256	89.7	5.444
43	5.812	    3150	166.5	256	89.7	5.620
44	5.531	    3151	166.4	256	89.7	5.381
45	5.500	    3151	166.4	256	89.6	5.314
46	5.656	    3150	166.4	256	89.5	5.423
47	5.594	    3150	166.4	256	89.5	5.373
48	5.781	    3150	166.4	256	89.4	5.660
49	5.750	    3148	166.6	256	89.3	5.586
50	5.719	    3150	166.4	256	89.3	5.556
51	5.531	    3148	166.5	256	89.2	5.398
52	6.156	    3151	166.4	256	89.2	6.047
53	5.344	    3150	166.4	256	89.1	5.257
54	5.531	    3149	166.5	256	89.1	5.423
55	5.500	    3150	166.4	256	89.0	5.374
56	5.594	    3149	166.5	256	88.9	5.512
57	5.312	    3148	166.5	256	88.9	5.222
58	5.406	    3148	166.5	256	88.8	5.339
59	5.125	    3146	166.6	256	88.7	5.097
60	5.656	    3150	166.5	256	88.8	5.549
61	5.344	    3147	166.6	256	88.6	5.261
62	5.281	    3148	166.5	256	88.6	5.210
63	5.281	    3145	166.7	256	88.5	5.204
64	5.281	    3150	166.4	256	88.6	5.202
65	5.562	    3144	166.8	256	88.3	5.493
66	5.250	    3151	166.4	256	88.5	5.217
67	5.062	    3146	166.6	256	88.3	5.004
68	5.281	    3150	166.4	256	88.4	5.205
69	5.188	    3150	166.4	256	88.3	5.146
70	5.219	    3152	166.3	256	88.3	5.177
71	5.281	    3148	166.6	256	88.1	5.247
72	5.062	    3149	166.5	256	88.1	5.036
73	5.125	    3147	166.6	256	88.0	5.099
74	5.125	    3150	166.5	256	88.0	5.080
75	5.062	    3146	166.7	256	87.9	5.044
76	4.781	    3149	166.5	256	87.9	4.766
77	4.969	    3149	166.5	256	87.9	4.975
78	5.062	    3152	166.4	256	87.9	5.098
79	4.812	    3149	166.5	256	87.8	4.848
80	4.969	    3150	166.4	256	87.7	5.013
81	4.812	    3148	166.6	256	87.6	4.863
82	4.906	    3149	166.5	256	87.6	4.943
83	4.531	    3149	166.5	256	87.5	4.540
84	4.938	    3147	166.6	256	87.4	4.977
85	4.875	    3146	166.7	256	87.4	4.880
86	4.844	    3150	166.5	256	87.4	4.888
87	4.500	    3152	166.3	256	87.4	4.491
88	4.875	    3150	166.5	256	87.3	4.894
89	4.531	    3146	166.6	256	87.1	4.559
90	4.594	    3152	166.3	256	87.3	4.635
91	4.594	    3149	166.5	256	87.1	4.649
92	4.656	    3151	166.4	256	87.1	4.690
93	4.688	    3152	166.4	256	87.1	4.713
94	5.031	    3153	166.3	256	87.1	5.060
95	4.844	    3146	166.7	256	86.8	4.892
96	4.625	    3150	166.4	256	86.9	4.685
97	4.531	    3146	166.6	256	86.7	4.569
98	4.812	    3152	166.3	256	86.8	4.839
99	4.812	    3151	166.4	256	86.8	4.829
100	4.688	    3150	166.4	256	86.7	4.736
101	4.812	    3149	166.5	256	86.6	4.855
102	4.906	    3152	166.4	256	86.6	4.946
103	4.750	    3151	166.4	256	86.5	4.764
104	4.594	    3151	166.4	256	86.5	4.643
105	4.625	    3151	166.4	256	86.4	4.651
106	4.562	    3151	166.4	256	86.4	4.607
107	4.656	    3151	166.4	256	86.3	4.698
108	4.688	    3148	166.5	256	86.2	4.733
109	4.719	    3148	166.5	256	86.2	4.737
110	4.750	    3149	166.5	256	86.1	4.708
111	4.656	    3152	166.3	256	86.2	4.707
112	4.750	    3151	166.4	256	86.1	4.770
113	4.375	    3152	166.3	256	86.0	4.380
114	4.625	    3153	166.3	256	86.0	4.671
115	4.656	    3155	166.2	256	86.0	4.671
116	4.656	    3151	166.4	256	85.9	4.694
117	4.469	    3152	166.4	256	85.8	4.497
118	4.531	    3152	166.3	256	85.8	4.563
119	4.531	    3152	166.4	256	85.7	4.559
120	4.344	    3149	166.5	256	85.6	4.384
121	4.344	    3151	166.4	256	85.6	4.383
122	4.469	    3149	166.5	256	85.5	4.512
123	4.250	    3151	166.4	256	85.5	4.312
124	4.438	    3153	166.3	256	85.5	4.472
125	4.375	    3151	166.4	256	85.4	4.442
126	4.344	    3150	166.4	256	85.3	4.397
127	4.531	    3155	166.2	256	85.4	4.609
128	4.312	    3151	166.4	256	85.2	4.353
129	4.500	    3153	166.3	256	85.2	4.496
130	4.438	    3148	166.5	256	85.1	4.465
131	4.219	    3150	166.5	256	85.0	4.263
