Successfully imported torchao. FP8 training enabled.
/root/gptspeedrun/./train_gpt2_4090_90min_3_25loss.py:316: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
Converting Linear layers to Float8...
Run ID: 7b1b30e2-7a9d-436d-8a1a-9690639a3214
Step	Loss	Time(ms)	kt/s	Window	ETA(m)	Malbo Loss
1	10.812	  269983	1.9	256	7874.5	10.815
2	9.875	    3098	169.3	256	90.3	9.904
3	9.062	    3115	168.3	256	90.7	8.919
4	8.750	    3116	168.2	256	90.7	8.175
5	7.969	    3119	168.1	256	90.8	7.407
6	9.000	    3123	167.9	256	90.8	8.041
7	8.125	    3126	167.7	256	90.9	7.437
8	7.906	    3128	167.6	256	90.9	7.248
9	8.000	    3132	167.4	256	90.9	7.235
10	7.781	    3131	167.5	256	90.8	7.119
11	7.531	    3127	167.7	256	90.7	6.786
12	7.656	    3134	167.3	256	90.8	7.011
13	7.469	    3132	167.4	256	90.7	6.729
14	7.344	    3131	167.4	256	90.7	6.665
15	7.125	    3132	167.4	256	90.6	6.460
16	7.250	    3139	167.0	256	90.8	6.477
17	7.188	    3140	167.0	256	90.7	6.460
18	6.938	    3135	167.2	256	90.6	6.252
19	7.281	    3140	167.0	256	90.6	6.397
20	7.344	    3140	167.0	256	90.6	6.458
21	6.906	    3139	167.0	256	90.5	6.096
22	6.812	    3138	167.1	256	90.4	6.046
23	6.938	    3143	166.8	256	90.5	6.214
24	7.062	    3144	166.8	256	90.5	6.195
25	6.844	    3141	166.9	256	90.4	6.003
26	6.656	    3145	166.7	256	90.4	5.884
27	6.844	    3140	167.0	256	90.2	5.978
28	6.594	    3145	166.7	256	90.3	5.746
29	6.688	    3145	166.7	256	90.3	5.920
30	6.750	    3146	166.7	256	90.2	5.979
31	6.719	    3145	166.7	256	90.2	5.801
32	6.688	    3146	166.6	256	90.1	5.954
33	6.625	    3146	166.7	256	90.1	5.809
34	6.531	    3147	166.6	256	90.0	5.680
35	6.344	    3148	166.5	256	90.0	5.644
36	6.625	    3152	166.4	256	90.1	5.962
37	6.500	    3151	166.4	256	90.0	5.749
38	6.250	    3150	166.4	256	89.9	5.511
39	6.312	    3149	166.5	256	89.8	5.577
40	6.188	    3150	166.4	256	89.8	5.533
41	6.281	    3155	166.2	256	89.9	5.462
42	6.250	    3147	166.6	256	89.6	5.535
43	6.344	    3151	166.4	256	89.7	5.675
44	6.062	    3149	166.5	256	89.6	5.329
45	6.000	    3150	166.4	256	89.6	5.340
46	6.156	    3146	166.6	256	89.4	5.372
47	6.125	    3153	166.3	256	89.5	5.438
48	6.281	    3149	166.5	256	89.4	5.573
49	6.250	    3149	166.5	256	89.3	5.531
50	6.219	    3149	166.5	256	89.3	5.446
51	5.969	    3148	166.5	256	89.2	5.367
52	6.500	    3150	166.4	256	89.2	5.889
53	5.875	    3152	166.3	256	89.2	5.270
54	5.875	    3151	166.4	256	89.1	5.269
55	5.969	    3153	166.3	256	89.1	5.328
56	5.812	    3152	166.4	256	89.0	5.327
57	5.812	    3152	166.3	256	89.0	5.223
58	5.750	    3150	166.4	256	88.9	5.237
59	5.531	    3151	166.4	256	88.8	5.098
60	5.938	    3153	166.3	256	88.9	5.406
61	5.719	    3153	166.3	256	88.8	5.171
62	5.656	    3151	166.4	256	88.7	5.147
63	5.625	    3150	166.4	256	88.6	5.070
64	5.531	    3153	166.3	256	88.7	5.086
65	5.844	    3154	166.2	256	88.6	5.364
66	5.562	    3153	166.3	256	88.5	5.152
67	5.281	    3152	166.3	256	88.5	4.887
68	5.438	    3152	166.4	256	88.4	5.100
69	5.312	    3157	166.1	256	88.5	4.970
70	5.344	    3153	166.3	256	88.3	5.032
71	5.531	    3151	166.4	256	88.2	5.074
72	5.219	    3152	166.3	256	88.2	4.911
73	5.219	    3153	166.3	256	88.2	4.923
74	5.281	    3155	166.2	256	88.2	4.941
75	5.312	    3154	166.2	256	88.1	4.958
76	4.938	    3155	166.2	256	88.1	4.607
77	5.156	    3155	166.2	256	88.0	4.811
78	5.219	    3157	166.1	256	88.0	4.885
79	5.031	    3156	166.1	256	88.0	4.716
80	5.156	    3156	166.1	256	87.9	4.802
81	5.031	    3153	166.3	256	87.8	4.679
82	4.969	    3157	166.1	256	87.8	4.729
83	4.688	    3158	166.0	256	87.8	4.407
84	5.188	    3157	166.1	256	87.7	4.759
85	5.031	    3156	166.1	256	87.6	4.668
86	4.938	    3158	166.0	256	87.6	4.662
87	4.625	    3161	165.9	256	87.7	4.213
88	4.969	    3159	166.0	256	87.6	4.666
89	4.719	    3157	166.0	256	87.5	4.390
90	4.719	    3158	166.0	256	87.4	4.428
91	4.656	    3154	166.2	256	87.3	4.429
92	4.719	    3158	166.0	256	87.3	4.493
93	4.781	    3156	166.1	256	87.2	4.489
94	5.094	    3160	165.9	256	87.3	4.829
95	5.000	    3159	165.9	256	87.2	4.717
96	4.781	    3159	165.9	256	87.1	4.477
97	4.594	    3159	165.9	256	87.1	4.300
98	4.906	    3161	165.9	256	87.1	4.640
99	4.906	    3160	165.9	256	87.0	4.637
100	4.812	    3161	165.9	256	87.0	4.541
101	4.938	    3156	166.1	256	86.8	4.651
102	4.969	    3160	165.9	256	86.8	4.747
103	4.844	    3162	165.8	256	86.8	4.538
104	4.719	    3160	165.9	256	86.7	4.451
105	4.719	    3160	165.9	256	86.7	4.457
106	4.625	    3158	166.0	256	86.6	4.418
107	4.719	    3160	165.9	256	86.6	4.504
108	4.781	    3161	165.8	256	86.6	4.485
109	4.750	    3160	165.9	256	86.5	4.567
110	4.719	    3157	166.1	256	86.3	4.450
111	4.719	    3159	165.9	256	86.4	4.470
